"id";"username";"email";"password";"acct_type"
4;"J-Rathman";"jrathman4014@stevenscollege.edu";"%v$^$]26qwAPv:&";"admin"
5;"Joe Smith";"jsmith@school.edu";"ndg1234";"teacher"
6;"Ms. Julia Estrada";"jestrada@school.edu";"hgf4";"teacher"
7;"Mr. Mark Taylor";"mtaylor@school.edu";"taylor4!";"teacher"
8;"Mr. Jordan";"jordan@example.edu";"mrjordanpassword";"teacher"
9;"Micah Barlow";"micahb@school.edu";"br55#";"student"
10;"Joshua Jones";"joshjones@example.edu";"jj878";"student"
11;"Quinton Morlacci";"qmorlacci@1234.edu";"password9";"student"
12;"Robin Montero";"rmontero@school.edu";"robinmontero";"student"
13;"Dr. Kenzo Tenma";"drtenma@school.edu";"password74";"teacher"
14;"Robby Robinson";"robinsonr@example.edu";"####";"student"
15;"Elias Barr";"eliasb@school.edu";"elibarr";"student"
16;"Umar Gadisov";"umarg@school.edu";"12345";"student"
17;"Jose Grasso";"jgrasso@example.edu";"asdfg21";"student"
18;"SrijanaApaht";"email@email.com";"SrijanaApaht";"admin"
20;"agon907";"email2@email.com";"agon907";"admin"
21;"adamabd3";"email3@email.com";"adamabd3";"admin"
